 summons, call	citatio
to ask someone to do something	rogo eum ut +subjunctive
to ask the advice of, consult	consulto
to ask, ask for	rogo
to ask, demand, require /summon, prosecute	postulo
to assail, usurp, seize, attack, fall upon	invado
to assemble, bring together /win over, reconcile	concilio
to assert, maintain /shoot (a missile), cast	contendo
to assert, maintain/ strengthen	firmo
to assist, be present, be near, be in attendance	adsum
to assume it shall be	oportet
to attack, assault	impugno
to attack, avenge	infenso
to attack, disquiet	infesto
to attack, go with, pursue, attend	prosequor (prosecutus)
to attack, head for	impeto
to attend, wait upon, assist	ministro
to attract	delecto
to authorize, permit, dismiss	licentio
to avenge, punish, liberate, deliver, protect	vindico
to avoid	devito
to avoid, shun	vito
to awake, march, go, enter into	incedo
to awaken /be alert	evigilo
to bark, bay / rant /runble, roar	latro
to be	sum fui futurus
to be a consequence	orior
to be a public crier	praeconor
to be a public crier	preconor
to be a public crier, to herald, proclaim	praeconor
to be a servant	famulor
to be a servant, to serve	famulor
to be a slave	inservio
to be a slave to	servio
to be a slave to, serve	servio
to be a slave, serve, be devoted to	inservio
to be able	posse
to be able	possum
to be able	potum
to be able	queo
to be able to	ualeo
to be able to, to succeed in (doing something)	ualeo
to be able, avail, have influence	possum posse potum
to be above	supero
to be above, have the upper hand, surpass	supero
to be absent	absum
to be absent, to be away, to be missing	absum
to be accustomed	soleo
to be accustomed to	solito
to be accustomed, be used to	soleo
to be accustomed, to have the habit of	solito
to be active	operor
to be added	accedo
to be afflicted	crucio
to be affluent	sufficio
to be afraid	vereor
to be after	continuo
to be an informant	quadruplor
to be angry	irascor
to be angry	iratus
to be angry, to be wrathful	irascor iratus
to be appropriate	competo
to be appropriate, suitable, fit	competo
to be ashamed	pudeo
to be astounded	stupeo
to be at hand	adsum
to be at the head of	praesum
to be at the head of	presum
to be at the head of, be in charge of	praesum presum
to be awake	vigilo
to be awake, watch, be vigilant /to keep vigil	vigilo
to be before	praesum
to be better	praesto
to be boiling hot	ferveo
to be boiling hot, boil, seethe	ferveo
to be born	generasco
to be born	nasci
to be born	nascor
to be born	natus
to be born	orior
to be born again	regenero
to be born, spring forth	nascor  nasci  natus
to be borne	traduco in passive
to be bound by	debeo
to be brought to a standstill	haero
to be built on	insigniter
to be capable	possum
to be changed	abeo
to be classed among	deputari
to be clear	in promptu esse
to be clear	pateo
to be clear	promptu
to be cold	algeo
to be deceived	frustra esse
to be deceived, to be mistaken	frustra esse
to be delighted	laetor
to be determined	delibero
to be devoid of whatever	cassus
to be different	discrepo
to be diligent	studeo
to be dirty	sordeo
to be dirty, appear vile	sordeo
to be disgusted at	taedet se
to be distinguished for	floreo
to be distrustful	diffido
to be dreaming	dormito
to be earnestly engaged in	insto
to be easy	in promptu esse
to be easy	promptu
to be established	consto
to be established, stand firm, stop, endure	consto
to be failed by	fefello
to be failed by, disappointed by something	fefello
to be formed of	consisto
to be formed of, consist/ stop	consisto
to be free from work	vaco
to be free from work, of a master, of property	vaco
to be hard	obduro
to be hard, persist, endure, last, hold out	obduro
to be horrified	exhorresco
to be horrified, to shake, shudder /dread	exhorresco
to be hungry	esurio
to be hungry, to hunger / long for, desire, yearn	esurio
to be ignorant	ignoro
to be ignorant	nescio
to be ignorant of	ignoro
to be ignorant of, not know /rarely neglect	ignoro
to be ignorant, be unaware, not know	nescio
to be impossible	nequeo
to be in	insum
to be in an uproar	tumultuor
to be in heat	subo
to be in one's service	facio servitium
to be in or on, contained in	insum
to be in the habit of using	usitor
to be in want	deficio
To be inclined to do	faveo
to be inflamed	exardesco
to be irritated	succenseo
to be laid open	patesco
to be laid open, bare, exposed, to be revealed	patesco
to be like	exaequo
to be like	exequo
to be like, equal/ make level or even, relate	exaequo exequo
to be lord and master of	dominor
to be mastered	dominor
to be mindful of	recordo
to be mistaken	frustra esse
to be morally bound to	debeo
to be moved	cito
to be moved, aroused	cito
to be near	subesse
to be near	subsum
to be near, close at hand, be under, be subject	subsum  subesse
to be obedient to	pareo
to be obedient to, obey	pareo
to be of the opinion of	opinor
to be old	seneo
to be on	insum
to be one's own master	esse suae potestatis
to be open	pateo
to be open, be exposed	pateo
to be pained	doleo
to be pleasing	libet
to be pompous	tumeo
to be produced	generasco
to be produced, to be born	generasco
to be prominent	emineo
to be punished	plector
to be ready	in promptu esse
to be ready	promptu
to be ready, to be easy, to be clear	promptu
to be reduced to	redeo
to be reduced to, fall back upon	redeo
to be renowned	nominor
to be revealed	pateo
to be revealed	patesco
to be revealed, to stand open, to be clear	pateo
to be rich in	polleo
to be ruined	concido
to be ruined, fail /cut up, cut down, destroy	concido
to be sad	tristor
to be seen	videor
to be seen, seem, appear	videor
to be set over	praesum
to be silent	conticeo
to be silent	taceo
to be silent	tacuitacitum
to be silent, leave unmentioned	taceo tacuitacitum
to be silent, say nothing, pass over	taceo
to be sluggish	torpeo
to be sluggish, inert, numb, inactive, immoveable	torpeo
to be sold	venalis
to be sold, up for sale /a slave	venalis
to be still	sileo
to be strong	confortari
to be strong	polleo
to be strong	valeo
to be strong	valiturus
to be strong	valui
to be strong, have power, be well	valeo
to be strong, powerful, able	polleo
to be subject to	subservio
to be subject to, comply with	subservio
to be sufficient	sufficio
to be sufficient, suffice, be enough	sufficio
to be superfluous	supersum
to be superfluous, to remain	supersum
to be sure	quippe
to be sure	sane
to be sure	vero
to be sure	videlicet
to be taken across a strait	transfreto
to be terrified	formido
to be terrified, frightened, afraid	formido
to be the equal of	equipero
to be there	subsisto
to be thirsty	sitio
to be told	didico
to be troublesome	incommodo
to be troublesome, unpleasant, annoying	incommodo
to be unaccustomed	desuesco
to be undone	intereo
to be unknown	latet
to be unlike one's kind	degenero
to be unlike one's kind, fall off, degenerate	degenero
to be unsure	hesito
to be unsure, uncertain, wavering	hesito (haesito)
to be unwilling	nolle
to be unwilling	nolo
to be unwilling	nolui
to be unwilling, wish not to, refuse	nolo
to be useful	prosum
to be useful, do good, benefit	prosum
to be useful, of benefit, do good	prosum (profuturus)
to be valued at	liceo
to be valued at, be for sale	liceo
to be very abundant	superabundo
to be very abundant	superabundo-avi
to be very pleasing to	complaceo
to be vexed	moleste fere
to be wanting	deficio
to be warmed	caleo
to be well	salveo
to be well, be in good health	salveo
to be without hope	despero
to be without hope, despair / despair of	despero
to be wont	soleo
to be wrathful	irascor
to be wrathful	iratus
to be, exist	sum fui futurus
to beak, weaken, impari, discourage	infringo infregi infractum
to bear	defero
to bear, suffer, endure	perfero
to become	existo
to become acquainted with	nosco
to become acquainted with, get to know	nosco
to become bright again	relucesco
to become calm	quieto
to become dirty	sordesco
to become dry	exaresco
to become dry, arid	exaresco
to become frequent	crebresco
to become heavy	ingravesco
to become heavy, a burden, weary, pregnant	ingravesco
to become hot	fervesco
to become hot, begin to glow or boil	fervesco
to become know	innotesco
to become know, noted	innotesco
to become known	innotesco
to become lean	macresco
to become lean, skinny, thin	macresco
to become sick at the same time	coaegresco
to become soft	lentesco
to become soft, flexible, sticky /to weaken	lentesco
to become stiff	derigesco
to become tired	lasesco
to become tired, grow weary	lasesco
to become used to	imbuo
to become very much afraid	pertimesco
to become vigorous	vigesco
to become violent	crudesco
to become violent, become hard	crudesco
to become visible	appareo
to become visible, appear, manifest	appareo
to become white	albeo
to beg by entreaty, to excuse oneself / curse	deprecor
to beget, engender, produce, create	genero
to begin to	ingredior
to begin to bristle, shudder, quiver, shake	inhorresco
to begin to shine	nitesco
to begin to shine, grow sleek	nitesco
to begin, start (esp. of speaking)	ordior
to begin, start upon, turn to, start	incoho
to begin, undertake	coepto
to begn to shine /to grow fat or sleek	nitesco
to behead	decollo
to believe /trust, commit / trust in	credo
to bellow, roar	rudo
to bend	lento
to bend, arch, curve /influence	curvo
to bend, bow, curve	inflecto inflexi inflectum
to bend, curve, make crooked	incurvo
to bend, incline, turn, change / fall back	inclino
to bend, incline, verge, to draw to an end	vergo
to beset, assail	circumvenio
to bewail, weep for	defleo
to bewitch, envy	fascino
to bind below, bind on	subligo
to bind on beneath, to tie	subnecto
to bind together, connect, couple	iugo
to bind together, draw together	constrictio
to bind, tie	ligo
to blame, accuse /prove, expose, convict /declare	arguo
to blame, censure, accuse	culpo
to blame, reprove, refute, hold back, check	reprehendo
to bleat	balo
to bleed	minuo
to bless	fortuno
to blossom, bloom, break out	effloresco
to blow	inflo
to blush to	erubesco
to blush to, blush for, respect	erubesco
to boil down	decoquo
to boil up, bubble up, to appear	ebullio
to boil up, swarm out (like bees)	effervo
to bore through, perforate	terebro
to bore, pierce, make a hole, penetrate	foro
to both sides	utroque
to break in pieces, shatter	frango
to break off, sever, remove, dissociate	abrumpo
to break open, vent, discharge, erupt	erumpo
to break out, burst forth / (milit.) attack	erumpo
to break through, penetrate /shatter	perfringo
to break up, depart, go away	discedo
to break up, destroy, annihilate /spoil, weaken	corrumpo
to break up, dismiss, leave, abandon	dimitto
to break up, dissolve	to distraho
to break, break open	effringo
to break, shatter, interrupt, annull, violate	rumpo
to breathe /breathe again /recover /decline	respiro
to breathe out, blow out	efflo
to breathe upon	inhalo
to bridle, check, restrain, break in	infreno
to bring	defero
to bring again, restore, repeat, echo, reproduce	refero
to bring as expected, pay up, deliver	refero
to bring back a message, refer	refero  retuli  relatum
to bring forth, bear, beget, father	gigno (genuit)
to bring forward, place before, present, offer	offero
to bring or reduce to a condition, lessen	redigo (redactum)
to bring to naught, destroy, annul, make void	casso
to bring to pass	facio
to bring together, drive, draw	cogo
to bring together, put together, collect/	confero
to bring up, supply, provide, add	suggero
to bring, fetch, summon, call for	arcesso; accerso
to bring, give, impart, turn over	affero
to bring, lead, conduct	induco
to bristle	inhorreo
to build beneath, lay a foundation	substruo
to build, erect, construct, contrive, toil	molior
to built in, set up, construct, furnish /train	instruo
to burn up, consume /inflame, gall, chafe	peruro perussi perustum
to burn up, to ruin, consume	comburo
to burn, scorch	ustilo  ustulo
to bury, inter	tumulo
to buy up	emercor
to buy, purchase	emo  emi  emptum
to calculate, count, reckon, esteem, considered	duco
to call away, call down, call aside	devoco
to call away, divert	avoco
to call back, recover, refer, revoke	revoco
to call into question	voco in dubium
to call out to, to rebuke	increpito
to call together, convene	convoco
to call upon, ask ernestly, request	posco
to call, name, summon	appello
to call, proclaim	nuncupo
to call, shout, cry aloud, proclaim, declare	clamo
to call, summon, name invite	voco
to cancel, blot out	oblittero
to capture, overcome, subdue, take by storm	expugno
to care for, trouble about, pay attention to	curo
to carry	defero
to carry	gero
to carry about	gero
to carry away, remove	aveho
to carry away, remove /steal, carry off	aufero
to carry back, bring back, return	refero
to carry in front, display, prefer	praefero
to carry in, put or place on	infero
to carry off, take away	asporto
to carry off, to take away	deporto
to carry on, carry forward, advance, promote	proveho
to carry out, bring forth/ advance, impell/cite	profero
to carry out, bury, lift up, exalt	effero
to carry through, complete, accomplish	peracto
to carry, bear about	gesto
to carry, bear, wear /bear	gero
to carry, bring, tell, relate, and much else	fero  tuli  latum
to carry, convey	veho  vexi  vectum
to carry, to bear, to bring	defero
to cast out	eructo
to catch sight of, perceive, behold, understand	conspicio
to cause	illata
to cause strife	jurgium
to cause to degenerate, disgrace by degeneracy	degenero
to cause to stand, establish, place, set up	statuo
to cause, bring about, contribute	adfero affero
to change, alter /exchange	muto
to charm, influence, mislead, draw in	duco
to chatter, babble	garrio
to check, repress, stop, halt, turn back /silence	confuto
to cheer, gladden, make joyful	laeto  leto
to cherish	fotum
to cherish	foveo
to cherish	fovi
to cherish / to warm, keep warm, caress	foveo
to chew the cud, ruminate	rumino
to chide, rebuke	increpo
to chirp, tweet, pipe	pipio
to choke, suffocate	praefoco
to choose out, esteem highly, prize, love	diligo
to choose, prefer	malo
to choose, prefer	malo mallui malus
to clean	mundo
to clean, cleanse, purify/ clear away	purgo
to cleanse, purify, purge	defaeco
to clear, settle up, consider, think, believe	puto
to cling to, correspond to	cohaereo
to close, shut up, close off	occludo
to clothe	vestio vestivi vestitum
to collect	colligo
to collide with, strike against / attack	incurso
to color	coloro
to comb back	repecto
to comb, card, thrash (to card wool)	pecto
to come	adsum
to come /happen, come about, come to pass /arise	venio
to come around, surround, cheat, defraud	circumvenio
to come back, return	revenio
